event_id,event_frequency,cell_id,turbine_id,failure_mode,failure_cause,windspeed_ms,p_failure,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
676,0.041666666666666664,61,S00T53,pitch_extremewind_typhoon,typhoon,51.26949959902553,0.1,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,62,S00T14,pitch_extremewind_typhoon,typhoon,37.8595523455424,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,62,S00T20,pitch_extremewind_typhoon,typhoon,47.73417467243822,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
305,0.041666666666666664,62,S00T33,pitch_extremewind_typhoon,typhoon,30.649026134003787,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
305,0.041666666666666664,62,S00T35,pitch_extremewind_typhoon,typhoon,30.649026134003787,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,62,S00T36,blade_major_typhoon,typhoon,37.8595523455424,0.01,blade,120.0,350000.0,DSV,1.0,1
336,0.041666666666666664,62,S00T4,blade_major_typhoon,typhoon,36.28652129260632,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,62,S00T44,pitch_extremewind_typhoon,typhoon,47.73417467243822,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,63,S00T13,pitch_extremewind_typhoon,typhoon,35.7080103798514,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,63,S00T30,pitch_extremewind_typhoon,typhoon,44.246443888428765,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,63,S00T35,pitch_extremewind_typhoon,typhoon,35.7080103798514,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,63,S00T4,blade_major_typhoon,typhoon,37.72259768430864,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,64,S00T13,pitch_extremewind_typhoon,typhoon,40.550193920233596,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,64,S00T14,pitch_extremewind_typhoon,typhoon,37.13137453049232,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
305,0.041666666666666664,64,S00T18,pitch_extremewind_typhoon,typhoon,31.97586321133902,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,64,S00T23,blade_major_typhoon,typhoon,39.13645515274543,0.01,blade,120.0,350000.0,DSV,1.0,1
79,0.041666666666666664,64,S00T30,blade_major_typhoon,typhoon,39.13645515274543,0.01,blade,120.0,350000.0,DSV,1.0,1
